path,kind,suggested_use
数据/更新版数据/structured/STRUCTURED_DATA_DICTIONARY.md,md,待人工确认用途
数据/更新版数据/structured/个人贷款分产品2020.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2021.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2022.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2023.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2024.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/个人贷款分产品2025.xlsx,xlsx,零售分产品结构和零售风险专题
数据/更新版数据/structured/公司贷款分行业2020.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2021.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2022.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2023.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2024.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/公司贷款分行业2025.xlsx,xlsx,对公行业集中度和行业不良专题
数据/更新版数据/structured/利率风险-负债2025.xlsx,xlsx,资产负债重定价和利率风险专题
数据/更新版数据/structured/利率风险-资产2025.xlsx,xlsx,资产负债重定价和利率风险专题
数据/更新版数据/structured/存贷结构2020.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2021.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2022.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2023.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2024.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/存贷结构2025.xlsx,xlsx,存贷款结构和定期化专题
数据/更新版数据/structured/流动性风险-负债2025.xlsx,xlsx,流动性和集中度风险专题
数据/更新版数据/structured/流动性风险-资产2025.xlsx,xlsx,流动性和集中度风险专题
数据/更新版数据/structured/贷款五级分类2020.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2021.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2022.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2023.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2024.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/贷款五级分类2025.xlsx,xlsx,风险分类、关注类和不良迁徙专题
数据/更新版数据/structured/逾期贷款2020.xlsx,xlsx,逾期结构、偏离度和风险确认专题
数据/更新版数据/structured/逾期贷款2021.xlsx,xlsx,逾期结构、偏离度和风险确认专题
