bank_canonical,report_year,source_tables,database_rows,source_table_list
上海,2025,14,638,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
上海农商行,2025,14,458,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
东莞农商行,2025,14,357,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
中信银行,2025,14,688,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
中原,2025,13,387,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
九江,2025,14,296,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long .csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
光大银行,2025,14,591,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
兰州,2025,14,374,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
兴业银行,2025,14,373,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
北京,2025,14,373,extraction_status.csv;fee_commission_long.csv;financials_core_long.csv;ifrs9_stage_distribution_long.csv;liquidity_risk_long.csv;loan_5class_migration_long.csv;loan_npl_industry_long.csv;loan_npl_product_long.csv;loan_writeoff_long.csv;nim_long.csv;other_noninterest_income_long.csv;provision_long.csv;repricing_long.csv;special_metrics_long.csv
