bank_id,bank_short_name,bank_full_name,aliases,bank_type,region,listed_place,stock_code,first_year,latest_year,available_years_count,latest_assets_万元,asset_scale_bucket,data_completeness,default_benchmark_eligible,notes
B053,重庆农商行,,,农村商业银行,中西,,,2020,2025,6,166574413.5,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B002,上海农商行,,沪农商行,农村商业银行,华东,,,2020,2025,6,158766626.3,中型样本,0.9744,True,股票代码、全称和上市地需后续补充或接入外部主数据
B023,常熟农商行,,常熟银行,农村商业银行,华东,,,2020,2025,6,40307910.7,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B027,张家港农商行,,,农村商业银行,华东,,,2020,2025,6,22723719.2678,小型样本,0.9359,True,股票代码、全称和上市地需后续补充或接入外部主数据
B031,无锡农商行,,,农村商业银行,华东,,,2020,2025,6,28062691.1,小型样本,0.9359,True,股票代码、全称和上市地需后续补充或接入外部主数据
B037,江阴农商行,,,农村商业银行,华东,,,2020,2025,6,21930037.3,小型样本,0.9231,True,股票代码、全称和上市地需后续补充或接入外部主数据
B042,瑞丰农商行,,瑞丰银行,农村商业银行,华东,,,2020,2025,6,24149492.7,小型样本,0.9231,True,股票代码、全称和上市地需后续补充或接入外部主数据
B044,紫金农商行,,,农村商业银行,华东,,,2020,2025,6,29034305.9,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B046,苏州农商行,,苏农银行,农村商业银行,华东,,,2020,2025,6,23090725.0,小型样本,0.9359,True,股票代码、全称和上市地需后续补充或接入外部主数据
B056,青岛农商行,,,农村商业银行,华北,,,2020,2025,6,50278349.0,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B003,东莞农商行,,,农村商业银行,华南,,,2020,2025,6,79601570.1,中型样本,0.9744,True,股票代码、全称和上市地需后续补充或接入外部主数据
B025,广州农商行,,,农村商业银行,华南,,,2020,2025,6,138000847.1,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B006,中国银行,,,国有大行,全国,,,2020,2025,6,3835807600.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B008,交通银行,,,国有大行,全国,,,2020,2025,6,1554838800.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B012,农业银行,,,国有大行,全国,,,2020,2025,6,4878467400.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B022,工商银行,,,国有大行,全国,,,2020,2025,6,5347777300.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B026,建设银行,,,国有大行,全国,,,2020,2025,6,4563181800.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B050,邮储银行,,,国有大行,全国,,,2020,2025,6,1868206700.0,大型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B017,哈尔滨,,,城市商业银行,东北,,,2020,2025,6,101934003.7,中型样本,0.9615,True,股票代码、全称和上市地需后续补充或接入外部主数据
B007,九江,,,城市商业银行,中西,,,2020,2025,6,52343455.9,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B010,兰州,,,城市商业银行,中西,,,2020,2025,6,53001533.8413,小型样本,0.9615,True,股票代码、全称和上市地需后续补充或接入外部主数据
B021,宜宾市,,,城市商业银行,中西,,,2020,2025,6,,待补充,0.7436,False,股票代码、全称和上市地需后续补充或接入外部主数据
B028,徽商,,,城市商业银行,中西,,,2020,2025,6,232608484.1,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B029,成都,,,城市商业银行,中西,,,2020,2025,6,139847268.8,中型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B032,晋商,,,城市商业银行,中西,,,2020,2025,6,39300040.1,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B036,江西,,,城市商业银行,中西,,,2020,2025,6,58921867.8,小型样本,0.9872,True,股票代码、全称和上市地需后续补充或接入外部主数据
B038,泸州,,,城市商业银行,中西,,,2020,2025,6,20246191.7,小型样本,0.9231,True,股票代码、全称和上市地需后续补充或接入外部主数据
B043,甘肃,,,城市商业银行,中西,,,2020,2025,6,,待补充,0.9359,True,股票代码、全称和上市地需后续补充或接入外部主数据
