source_group,source_field,status,priority,recommendation
基本信息,银行简称,已接入,-,当前应用和治理字典已使用
基本信息,银行类型,已接入,-,当前应用和治理字典已使用
基本信息,年份,已接入,-,当前应用和治理字典已使用
盈利概览(万元),营业收入,已接入,-,当前应用和治理字典已使用
盈利概览(万元),净利息收入,已接入,-,当前应用和治理字典已使用
盈利概览(万元),手续费净收入,已接入,-,当前应用和治理字典已使用
盈利概览(万元),营业收入增速%,已接入,-,当前应用和治理字典已使用
盈利概览(万元),净利润,已接入,-,当前应用和治理字典已使用
盈利概览(万元),归母净利润,未接入,暂缓,暂不进入董办首版，可保留在底层明细
盈利概览(万元),净利润增速%,已接入,-,当前应用和治理字典已使用
盈利概览(万元),PPOP,已接入,-,当前应用和治理字典已使用
盈利概览(万元),PPOP增速%,已接入,-,当前应用和治理字典已使用
盈利概览(万元),核心营收,已接入,-,当前应用和治理字典已使用
盈利概览(万元),核心营收增速%,已接入,-,当前应用和治理字典已使用
盈利指标,ROE%,已接入,-,当前应用和治理字典已使用
盈利指标,ROA%,已接入,-,当前应用和治理字典已使用
盈利指标,NIM%,已接入,-,当前应用和治理字典已使用
盈利指标,净利差%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
盈利指标,成本收入比%,已接入,-,当前应用和治理字典已使用
盈利指标,非息占比%,已接入,-,当前应用和治理字典已使用
盈利指标,真实核心非息%,已接入,-,当前应用和治理字典已使用
盈利指标,高波动收入%,已接入,-,当前应用和治理字典已使用
资产负债(万元),资产总计,已接入,-,当前应用和治理字典已使用
资产负债(万元),负债合计,已接入,-,当前应用和治理字典已使用
资产负债(万元),股东权益,已接入,-,当前应用和治理字典已使用
资产负债(万元),贷款总额,已接入,-,当前应用和治理字典已使用
资产负债(万元),存款总额,已接入,-,当前应用和治理字典已使用
资产负债(万元),生息资产,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债(万元),计息负债,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产负债(万元),存贷比%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
息差分析,生息资产收益率%,已接入,-,当前应用和治理字典已使用
息差分析,计息负债成本率%,已接入,-,当前应用和治理字典已使用
息差分析,NIM_Gap百分点,已接入,-,当前应用和治理字典已使用
息差分析,真实存贷利差,已接入,-,当前应用和治理字典已使用
息差分析,核心存款定期化%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产质量,不良率%,已接入,-,当前应用和治理字典已使用
资产质量,五级分类不良率%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产质量,拨备覆盖率%,已接入,-,当前应用和治理字典已使用
资产质量,五级分类覆盖率%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产质量,贷款拨备率%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资产质量,逾期率%,已接入,-,当前应用和治理字典已使用
资产质量,关注率%,已接入,-,当前应用和治理字典已使用
资产质量,逾期-不良偏离度,已接入,-,当前应用和治理字典已使用
资产质量,隐性不良暴露率%,已接入,-,当前应用和治理字典已使用
资本充足率,资本充足率%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资本充足率,一级资本充足%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资本充足率,核心一级充足%,已接入,-,当前应用和治理字典已使用
资本充足率,资本杠杆率%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资本充足率,CET1余量bp,已接入,-,当前应用和治理字典已使用
资本充足率,资本充足余量bp,已接入,-,当前应用和治理字典已使用
资本充足率,估算RWA(万元),已接入,-,当前应用和治理字典已使用
资本充足率,RWA密度%,已接入,-,当前应用和治理字典已使用
资本充足率,资本净额,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资本充足率,一级资本净额,未接入,暂缓,暂不进入董办首版，可保留在底层明细
资本充足率,核心一级净额,未接入,暂缓,暂不进入董办首版，可保留在底层明细
流动性指标,流动性比率%,已接入,-,当前应用和治理字典已使用
流动性指标,流动性覆盖率%,已接入,-,当前应用和治理字典已使用
流动性指标,备付金率%,未接入,中,流动性与集中度风险
流动性指标,存贷比%,未接入,中,流动性与集中度风险
流动性指标,单一最大贷款比%,未接入,中,流动性与集中度风险
流动性指标,最大十家贷款比%,未接入,中,流动性与集中度风险
存款结构(万元),存款总额,未接入,暂缓,暂不进入董办首版，可保留在底层明细
存款结构(万元),公司存款,未接入,暂缓,暂不进入董办首版，可保留在底层明细
存款结构(万元),公司定期,已接入,-,当前应用和治理字典已使用
存款结构(万元),公司活期,未接入,暂缓,暂不进入董办首版，可保留在底层明细
存款结构(万元),个人存款,未接入,暂缓,暂不进入董办首版，可保留在底层明细
存款结构(万元),个人定期,已接入,-,当前应用和治理字典已使用
存款结构(万元),个人活期,未接入,暂缓,暂不进入董办首版，可保留在底层明细
存款结构(万元),保证金存款,未接入,暂缓,暂不进入董办首版，可保留在底层明细
贷款结构(万元),贷款总额,未接入,中,贷款结构与分项不良
贷款结构(万元),公司贷款,未接入,中,贷款结构与分项不良
贷款结构(万元),个人贷款,未接入,中,贷款结构与分项不良
贷款结构(万元),票据贴现,未接入,中,贷款结构与分项不良
贷款结构(万元),公司贷款不良%,已接入,-,当前应用和治理字典已使用
贷款结构(万元),个人贷款不良%,已接入,-,当前应用和治理字典已使用
贷款结构(万元),票据贴现不良%,已接入,-,当前应用和治理字典已使用
五级分类-余额(万元),正常贷款,未接入,中,风险确认与迁徙
五级分类-余额(万元),正常类,未接入,中,风险确认与迁徙
五级分类-余额(万元),关注类,未接入,中,风险确认与迁徙
五级分类-余额(万元),次级类,未接入,中,风险确认与迁徙
五级分类-余额(万元),可疑类,未接入,中,风险确认与迁徙
五级分类-余额(万元),损失类,未接入,中,风险确认与迁徙
五级分类-余额(万元),不良合计,未接入,中,风险确认与迁徙
五级分类-余额(万元),贷款损失准备,未接入,中,风险确认与迁徙
五级分类-各档拨备率(%),正常类拨备%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
五级分类-各档拨备率(%),关注类拨备%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
五级分类-各档拨备率(%),次级类拨备%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
五级分类-各档拨备率(%),可疑类拨备%,未接入,暂缓,暂不进入董办首版，可保留在底层明细
五级分类-占贷款比(%),正常类占比%,未接入,中,风险确认与迁徙
五级分类-占贷款比(%),关注类占比%,未接入,中,风险确认与迁徙
五级分类-占贷款比(%),次级类占比%,未接入,中,风险确认与迁徙
五级分类-占贷款比(%),可疑类占比%,未接入,中,风险确认与迁徙
五级分类-占贷款比(%),损失类占比%,未接入,中,风险确认与迁徙
逾期贷款(万元),逾期合计,未接入,中,逾期结构与期限迁徙
逾期贷款(万元),逾期3月内,未接入,中,逾期结构与期限迁徙
逾期贷款(万元),逾期3月-1年,未接入,中,逾期结构与期限迁徙
逾期贷款(万元),逾期1-3年,未接入,中,逾期结构与期限迁徙
逾期贷款(万元),逾期3年以上,未接入,中,逾期结构与期限迁徙
逾期贷款-信用类(万元),信用逾期合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-信用类(万元),信用-3月内,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-信用类(万元),信用-3月-1年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-信用类(万元),信用-1-3年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-信用类(万元),信用-3年+,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-保证类(万元),保证逾期合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-保证类(万元),保证-3月内,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-保证类(万元),保证-3月-1年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-保证类(万元),保证-1-3年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-保证类(万元),保证-3年+,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-抵押类(万元),抵押逾期合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-抵押类(万元),抵押-3月内,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-抵押类(万元),抵押-3月-1年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-抵押类(万元),抵押-1-3年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-抵押类(万元),抵押-3年+,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-质押类(万元),质押逾期合计,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-质押类(万元),质押-3月内,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-质押类(万元),质押-3月-1年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-质押类(万元),质押-1-3年,未接入,暂缓,暂不进入董办首版，可保留在底层明细
逾期贷款-质押类(万元),质押-3年+,未接入,暂缓,暂不进入董办首版，可保留在底层明细
个人贷款分产品(万元/%),个人贷款总额,未接入,中,零售风险分产品
个人贷款分产品(万元/%),住房贷款占比%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),消费贷款占比%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),经营贷款占比%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),信用卡占比%,未接入,中,零售风险分产品
个人贷款分产品(万元/%),其他个贷占比%,未接入,中,零售风险分产品
个人贷款分产品(万元/%),个贷综合不良%,未接入,中,零售风险分产品
个人贷款分产品(万元/%),住房贷款不良%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),消费贷款不良%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),经营贷款不良%,已接入,-,当前应用和治理字典已使用
个人贷款分产品(万元/%),信用卡不良%,未接入,中,零售风险分产品
公司贷款分行业-占比(%),农林牧渔%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),采矿业%,未接入,中,对公行业集中度
公司贷款分行业-占比(%),制造业%,未接入,中,对公行业集中度
