bank,year,metric,status,missingReason,selectedSource,mainValue,tushareValue,scrapedValue,scrapedSource,relatedScrapedTables
中国银行,2020,roa,available,,main,0.8696,,,,
中国银行,2020,roe,available,,main,10.61,,,,
中国银行,2020,revenue,available,,main,56553100.0,56553100.0,,,
中国银行,2020,netProfit,available,,main,20509600.0,20509600.0,,,
中国银行,2020,coreRevenueGrowth,source_missing,三源均缺,,,,,,
中国银行,2020,revenueGrowth,source_missing,三源均缺,,,,,,
中国银行,2020,netProfitGrowth,source_missing,三源均缺,,,,,,
中国银行,2020,ppopGrowth,source_missing,三源均缺,,,,,,
中国银行,2020,costIncomeRatio,available,,main,26.73,26.7269,,,
中国银行,2020,feeAssetRatio,available,,main,0.309483,0.3095,,,
中国银行,2020,trueCoreNonInterest,available,,main,13.3542,,,,
中国银行,2020,volatileIncomeShare,source_missing,三源均缺,,,,,,
中国银行,2020,cashProfitRatio,available,,main,35.60674,35.6067,,,
中国银行,2020,nim,available,,main,1.85,,,,
中国银行,2020,nimGapBp,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,nimGapPoint,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,earningAssetYield,available,,main,3.38,,,,
中国银行,2020,interestLiabilityCost,available,,main,1.66,,,,
中国银行,2020,realLoanDepositSpread,source_missing,三源均缺,,,,,,
中国银行,2020,timeDepositShare,available,,main,44.786077,,,,
中国银行,2020,corporateDemandDepositShare,available,,main,29.69293,,,,
中国银行,2020,personalDemandDepositShare,available,,main,20.103148,,,,
中国银行,2020,corporateTimeDeposit,available,,main,362177500.0,,,,
中国银行,2020,personalTimeDeposit,available,,main,385453100.0,,,,
中国银行,2020,npl,available,,main,1.46,,,,
中国银行,2020,provisionCoverage,available,,main,177.84,,,,
中国银行,2020,overdueRatio,available,,main,1.2647,,,,
中国银行,2020,specialMentionRatio,available,,main,1.8655,,,,
中国银行,2020,overdueNplDeviation,available,,main,0.8662,,,,
中国银行,2020,hiddenNplExposure,available,,main,3.33,,,,
中国银行,2020,personalLoanNpl,available,,main,0.0,,,,
中国银行,2020,corporateLoanNpl,available,,main,0.0,,,,
中国银行,2020,housingLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2020,consumerLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2020,businessLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2020,creditCardLoanNpl,source_missing,三源均缺,,,,,,
中国银行,2020,housingLoanShare,source_missing,三源均缺,,,,,,
中国银行,2020,consumerLoanShare,source_missing,三源均缺,,,,,,
中国银行,2020,businessLoanShare,source_missing,三源均缺,,,,,,
中国银行,2020,retailRiskMax,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,retailRiskSpread,calculation_input_missing,计算输入不足,,,,,,
中国银行,2020,pb,available,,main,0.5443,,,,
中国银行,2020,pbMid,available,,main,0.599,,,,
中国银行,2020,peTtm,available,,tushare_market,,5.3945,,,
中国银行,2020,divYield,available,,tushare_market,,5.7862,,,
中国银行,2020,divYieldTtm,available,,tushare_market,,6.0063,,,
