bank,type,region,year,roa,roe,revenue,netProfit,coreRevenueGrowth,revenueGrowth,netProfitGrowth,ppopGrowth,costIncomeRatio,feeAssetRatio,trueCoreNonInterest,volatileIncomeShare,cashProfitRatio,nim,nimGapBp,nimGapPoint,earningAssetYield,interestLiabilityCost,realLoanDepositSpread,timeDepositShare,corporateDemandDepositShare,personalDemandDepositShare,corporateTimeDeposit,personalTimeDeposit,npl,provisionCoverage,overdueRatio,specialMentionRatio,overdueNplDeviation,hiddenNplExposure,personalLoanNpl,corporateLoanNpl,housingLoanNpl,consumerLoanNpl,businessLoanNpl,creditCardLoanNpl,housingLoanShare,consumerLoanShare,businessLoanShare,retailRiskMax,retailRiskSpread,pb,pbMid,peTtm,divYield,divYieldTtm,totalMarketValue,turnoverRate,cet1,cet1Buffer,carBuffer,rwaDensity,estimatedRwa,estimatedRwaGrowth,rwaProfitGrowthGap,rwaAssetGrowthGap,pbChange,bondInvestment,fundInvestment,trustWmInvestment,tradAsset,fvociAssets,acAssets,htmInvest,afaAssets,debtInvestment,otherDebtInvestment,investmentAssetRatio,fairValueChgGain,fxGain,investIncome,otherNonInterestIncome,otherAssetImpairLoss,operatingCashFlow,cashflowInvAct,cashflowFncAct,depositGrowthCF,loanIssuanceCF,centralBankAdj,liquidityCoverageRatio,liquidityRatio,loanDepositRatio
中国银行,国有大行,全国,2020,0.8696,10.61,56553100.0,20509600.0,,,,,26.73,0.309483,13.3542,,35.60674,1.85,,,3.38,1.66,,44.786077,29.69293,20.103148,362177500.0,385453100.0,1.46,177.84,1.2647,1.8655,0.8662,3.33,0.0,0.0,,,,,,,,,,0.5443,0.599,5.3945,5.7862,6.0063,93615317.6146,0.0526,11.28,378.0,572.0,61.9249,1511131319.0,,,,,536956400.0,6918300.0,1444700.0,50454900.0,,,,,,,22.34672,,,1674800.0,,,7302800.0,-1706600.0,12661700.0,,,,139.79,,
中国银行,国有大行,全国,2021,0.8893,11.28,60555900.0,22733900.0,3.08,7.08,10.85,4.97,28.17,0.304711,13.4464,,370.925358,1.75,-10.0,,3.25,1.63,,46.1356,29.438976,19.460939,396852700.0,429905000.0,1.33,187.05,1.0701,1.3449,0.8046,2.68,0.52,0.0,,,,,,,,,,0.4825,0.5009,4.2618,6.2623,6.459,89788276.3285,0.0357,11.3,380.0,603.0,61.0982,1632691470.0,8.044314,-2.805686,-1.461818,-0.0618,589159100.0,9073300.0,1201000.0,56164200.0,,,,,,,22.431863,,,2383500.0,,,84325800.0,-39556100.0,7434400.0,,,,127.61,,
中国银行,国有大行,全国,2022,0.8538,10.81,61800900.0,23750400.0,5.2,2.06,4.47,2.4,27.88,0.249873,11.6904,,-4.773393,1.76,-1.0,,3.36,1.75,,49.379603,26.930889,18.843263,446232800.0,538403400.0,1.32,188.73,1.0973,1.346,0.8313,2.67,0.71,0.0,,,,,,,,,,0.4622,0.4921,4.1141,6.2342,6.9937,93026542.0322,0.0579,11.84,434.0,702.0,58.165,1681775685.0,3.006337,-1.463663,-5.194455,-0.0203,615023600.0,10242300.0,1785300.0,57196000.0,,,,,,,21.686875,,,2410400.0,,,-1133700.0,-2224200.0,5304700.0,,,,133.54,,
中国银行,国有大行,全国,2023,0.8032,10.12,62288900.0,24637100.0,2.34,0.79,3.73,-0.06,28.5,0.243169,12.6612,,331.38884,1.59,-21.0,,3.58,2.18,,54.218331,24.949251,16.733874,559246300.0,666241700.0,1.27,191.66,1.058,1.4579,0.8331,2.73,0.76,1.48,,,,,,,,,,0.5423,0.5462,5.1245,5.5388,5.8145,117460728.7052,0.0624,11.63,413.0,724.0,57.3117,1858741826.0,10.522577,6.792577,-1.645668,0.0801,686371800.0,10180300.0,2376100.0,55042100.0,,,,,,,21.550463,,,2517200.0,,,81644600.0,-53942800.0,11986200.0,,,,135.3,,
中国银行,国有大行,全国,2024,0.7489,9.5,63009000.0,25271900.0,-3.65,1.16,2.58,0.76,28.77,0.218446,12.1554,,218.015266,1.4,-18.0,,3.34,2.12,,55.667842,23.14157,17.459228,595520300.0,731869200.0,1.25,200.6,1.1887,1.4689,0.951,2.72,0.97,1.26,,,,,,,,,,0.6895,0.5929,6.9674,4.2105,4.2904,162207672.9738,0.1157,12.2,470.0,826.0,54.8168,1921946695.0,3.400411,0.820411,-4.706149,0.1472,804022600.0,10372000.0,2464200.0,60029700.0,,,,,,,23.298019,,,4145300.0,,,55096600.0,-80598600.0,11186000.0,,,,142.88,,
中国银行,国有大行,全国,2025,0.7026,8.94,65831000.0,25793600.0,-0.49,4.48,2.06,5.9,27.84,0.214393,12.4921,,314.818405,1.26,-12.0,,2.85,1.75,,56.379877,21.952266,17.135266,651507300.0,804335400.0,1.23,200.37,1.2643,1.4673,1.0279,2.7,1.1,1.22,0.6,,,,66.9988,,,0.6,0.0,0.6905,0.7432,7.7012,3.6445,3.7839,184627711.9694,0.1435,12.53,503.0,835.0,54.5726,2093298143.0,8.915515,6.855515,-0.48738,0.001,929898900.0,13628600.0,2015700.0,,,,,,,,24.650433,,,,,,81203000.0,,,,,,150.6,,
交通银行,国有大行,全国,2020,0.7724,10.35,24620000.0,7957000.0,,,,,28.29,0.421458,18.3128,,187.756692,1.57,,,3.77,2.29,,56.81515,30.675273,12.425485,233559000.0,137969700.0,1.67,143.87,1.5423,1.4111,0.9235,3.08,0.95,2.13,0.37,,1.27,,65.313,,6.1076,1.27,0.9,0.4685,0.5362,4.7633,6.6964,7.0313,33269701.537,0.2834,10.87,337.0,475.0,62.5999,669669508.0,,,,,275471700.0,,10998600.0,48258800.0,,,,,,,26.778892,,,1325500.0,,,14939800.0,-9459100.0,8827700.0,,,,132.33,69.24,
交通银行,国有大行,全国,2021,0.7954,10.76,26939000.0,8893900.0,5.47,9.42,11.77,8.16,29.0,0.4078,17.6595,,-39.099832,1.56,-1.0,,3.64,2.17,,58.082491,29.637944,12.231277,248834800.0,155198100.0,1.48,166.5,1.3286,1.351,0.8977,2.83,0.84,1.88,0.34,,0.69,,65.184,,8.24,0.69,0.35,0.4449,0.4811,3.8072,6.833,6.8764,34235116.9833,0.1534,10.62,312.0,495.0,63.248,737836246.0,10.179161,-1.590839,1.129098,-0.0236,298857500.0,,9658700.0,63848300.0,,,,,,,26.446308,,,1885800.0,,,-3477500.0,-7554800.0,130600.0,,,,115.7,67.11,
交通银行,国有大行,全国,2022,0.7464,10.35,27297800.0,9203000.0,2.54,1.33,3.48,0.62,28.14,0.343577,16.3526,,400.109747,1.48,-10.0,,3.63,2.26,,63.26874,25.384548,11.292775,288765000.0,207071100.0,1.35,180.68,1.1626,1.4403,0.8612,2.79,0.85,1.67,0.44,,0.72,,63.919,,10.1107,0.72,0.28,0.4267,0.4569,3.8638,6.6878,7.4895,35200532.4297,0.2018,10.06,256.0,447.0,64.2848,835215097.0,13.197895,9.717895,1.82562,-0.0182,338206500.0,,,70535700.0,,,,,,,26.031065,,,1528400.0,,,36822100.0,-28489700.0,-3297500.0,,,,122.0,69.76,
交通银行,国有大行,全国,2023,0.6894,9.68,25759500.0,9325200.0,-3.47,-5.64,1.33,-8.28,30.04,0.30585,16.6944,,147.260112,1.28,-23.0,,3.59,2.45,,65.031838,24.401161,10.528445,299146700.0,247341000.0,1.33,195.21,1.3839,1.5113,1.0405,2.84,0.81,1.65,0.37,,0.78,,59.1417,,13.8368,0.78,0.41,0.4808,0.4944,4.5623,6.1847,6.4983,42626805.0942,0.2242,10.23,273.0,477.0,62.9294,884817289.0,5.938852,4.608852,-2.281734,0.0541,358494000.0,,,64228200.0,,,,,,,25.496584,,,2602800.0,,,13732300.0,-11662300.0,488800.0,,,,128.5,64.92,
