[2026-06-02T21:03:01] === BenchmarkIQ Tushare 管道启动 ===
[2026-06-02T21:03:01] 缓存目录: /Users/jinkunxiao/Documents/业务/银行财报分析/outputs/vqa_template/data_tushare_cache
[2026-06-02T21:03:01] 接口间隔: 200ms
[2026-06-02T21:03:01] → 拉取 stock_basic（银行业全列表）...
[2026-06-02T21:03:01]   ✓ 已存 42 家银行
[2026-06-02T21:03:01] 待处理银行数: 42
[2026-06-02T21:03:01] → balancesheet: 已缓存 0 行，需新拉 1008 组 (ts_code, period)
[2026-06-02T21:03:01]   [1/42] 000001.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:02]   [2/42] 600000.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:02]   [3/42] 600015.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:02]   [4/42] 600016.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:03]   [5/42] 600036.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:03]   [6/42] 601988.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:04]   [7/42] 601398.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:05]   [8/42] 601166.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:05]   [9/42] 601998.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:06]   [10/42] 601328.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:07]   [11/42] 002142.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:07]   [12/42] 601009.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:08]   [13/42] 601169.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:08]   [14/42] 601939.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:08]   [15/42] 601288.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:09]   [16/42] 601818.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:09]   [17/42] 600908.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:09]   [18/42] 002839.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:10]   [19/42] 601229.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:10]   [20/42] 603323.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:11]   [21/42] 600919.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:12]   [22/42] 002807.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:12]   [23/42] 601128.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:12]   [24/42] 601997.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:12]   [25/42] 600926.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:13]   [26/42] 601838.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:13]   [27/42] 001227.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:13]   [28/42] 002958.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:14]   [29/42] 601528.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:14]   [30/42] 002966.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:15]   [31/42] 601860.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:16]   [32/42] 002948.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:16]   [33/42] 002936.SZ (20200331-20251231, 24 期)
[2026-06-02T21:03:16]   [34/42] 600928.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:17]   [35/42] 601916.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:17]   [36/42] 601187.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:17]   [37/42] 601577.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:18]   [38/42] 601077.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:18]   [39/42] 601963.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:18]   [40/42] 601665.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:20]   [41/42] 601658.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:20]   [42/42] 601825.SH (20200331-20251231, 24 期)
[2026-06-02T21:03:20]   ✓ balancesheet 新增 1516 行，总计 1516 行
[2026-06-02T21:03:20] → income: 已缓存 0 行，需新拉 1008 组 (ts_code, period)
[2026-06-02T21:03:20]   [1/42] 000001.SZ (20200331-20251231, 24 期)
