field,bank,year,source,scraped_value,other_value,pct_diff,scraped_source
incomeTax,上海,2025,main,-411132.1,411132.1,2.0,financials_core_long.csv:所得税费用:p162
incomeTax,中原,2025,main,129348.7,-129348.7,2.0,financials_core_long.csv:所得税费用:p156-157
incomeTax,徽商,2025,main,-225880.1,225880.1,2.0,financials_core_long.csv:所得税费用:p170
incomeTax,杭州,2025,main,-215949.2,215949.2,2.0,financials_core_long.csv:所得税费用:p117
incomeTax,渤海银行,2025,main,-7439.8,7439.8,2.0,financials_core_long.csv:所得税费用:p127
incomeTax,贵州,2025,main,-55153.3,55153.3,2.0,financials_core_long.csv:所得税费用:p118
incomeTax,郑州,2025,main,883.9,-883.9,2.0,financials_core_long.csv:所得税费用:p130
incomeTax,重庆,2025,main,-64761.1,64761.1,2.0,financials_core_long.csv:所得税费用:p167
incomeTax,青岛,2025,main,-88723.4,88723.4,2.0,financials_core_long.csv:所得税费用:p8
interestExpense,上海,2025,main,-4765237.7,4765237.7,2.0,financials_core_long.csv:利息支出:p161
interestExpense,东莞农商行,2025,main,-1113108.9,1113108.9,2.0,financials_core_long.csv:利息支出:p148
interestExpense,中原,2025,main,-2286713.9,2286713.9,2.0,financials_core_long.csv:利息支出:p156-157
interestExpense,哈尔滨,2025,main,-1875904.1,1875904.1,2.0,financials_core_long.csv:利息支出:p174
interestExpense,天津,2025,main,-1802170.9,1802170.9,2.0,financials_core_long.csv:利息支出:p193
interestExpense,广州农商行,2025,main,-2144808.4,2144808.4,2.0,financials_core_long.csv:利息支出:p169
interestExpense,徽商,2025,main,-3662032.6,3662032.6,2.0,financials_core_long.csv:利息支出:p170
interestExpense,杭州,2025,main,-3557772.4,3557772.4,2.0,financials_core_long.csv:利息支出:p117
interestExpense,渤海银行,2025,main,-3408440.9,3408440.9,2.0,financials_core_long.csv:利息支出:p127
interestExpense,贵州,2025,main,-1076423.6,1076423.6,2.0,financials_core_long.csv:利息支出:p118
interestExpense,郑州,2025,main,-1284065.3,1284065.3,2.0,financials_core_long.csv:利息支出:p130
interestExpense,重庆,2025,main,-1912912.7,1912912.7,2.0,financials_core_long.csv:利息支出:p167
interestExpense,青岛,2025,main,-1212200.0,1212200.0,2.0,financials_core_long.csv:利息支出:p20
incomeTax,光大银行,2025,main,-10546.0,1054600.0,1.01,financials_core_long.csv:所得税费用:p174;175
incomeTax,华夏银行,2025,main,-6423.0,642300.0,1.01,financials_core_long.csv:所得税费用:p123
