table,field,rows,non_null,coverage,dtype
balancesheet,ts_code,1516,1516,1.0,object
balancesheet,ann_date,1516,1516,1.0,object
balancesheet,f_ann_date,1516,1516,1.0,object
balancesheet,end_date,1516,1516,1.0,object
balancesheet,report_type,1516,1516,1.0,object
balancesheet,comp_type,1516,1516,1.0,object
balancesheet,end_type,1516,1516,1.0,object
balancesheet,total_share,1516,1516,1.0,float64
balancesheet,cap_rese,1516,1516,1.0,float64
balancesheet,undistr_porfit,1516,1516,1.0,float64
balancesheet,surplus_rese,1516,1515,0.9993403693931399,float64
balancesheet,special_rese,1516,0,0.0,object
balancesheet,money_cap,1516,0,0.0,object
balancesheet,trad_asset,1516,1516,1.0,float64
balancesheet,notes_receiv,1516,0,0.0,object
balancesheet,accounts_receiv,1516,0,0.0,object
balancesheet,oth_receiv,1516,0,0.0,object
balancesheet,prepayment,1516,0,0.0,object
balancesheet,div_receiv,1516,0,0.0,object
balancesheet,int_receiv,1516,0,0.0,object
balancesheet,inventories,1516,0,0.0,object
balancesheet,amor_exp,1516,0,0.0,object
balancesheet,nca_within_1y,1516,0,0.0,object
balancesheet,sett_rsrv,1516,0,0.0,object
balancesheet,loanto_oth_bank_fi,1516,1471,0.9703166226912929,float64
balancesheet,premium_receiv,1516,0,0.0,object
balancesheet,reinsur_receiv,1516,0,0.0,object
balancesheet,reinsur_res_receiv,1516,0,0.0,object
balancesheet,pur_resale_fa,1516,1414,0.9327176781002638,float64
balancesheet,oth_cur_assets,1516,0,0.0,object
balancesheet,total_cur_assets,1516,0,0.0,object
balancesheet,fa_avail_for_sale,1516,0,0.0,object
balancesheet,htm_invest,1516,0,0.0,object
balancesheet,lt_eqt_invest,1516,1111,0.7328496042216359,float64
balancesheet,invest_real_estate,1516,545,0.35949868073878627,float64
balancesheet,time_deposits,1516,0,0.0,object
balancesheet,oth_assets,1516,1516,1.0,float64
balancesheet,lt_rec,1516,0,0.0,object
balancesheet,fix_assets,1516,1516,1.0,float64
balancesheet,cip,1516,1035,0.6827176781002638,float64
balancesheet,const_materials,1516,0,0.0,object
balancesheet,fixed_assets_disp,1516,0,0.0,object
balancesheet,produc_bio_assets,1516,0,0.0,object
balancesheet,oil_and_gas_assets,1516,0,0.0,object
balancesheet,intan_assets,1516,1443,0.9518469656992085,float64
balancesheet,r_and_d,1516,0,0.0,object
balancesheet,goodwill,1516,407,0.2684696569920844,float64
balancesheet,lt_amor_exp,1516,4,0.002638522427440633,float64
balancesheet,defer_tax_assets,1516,1516,1.0,float64
balancesheet,decr_in_disbur,1516,1516,1.0,float64
balancesheet,oth_nca,1516,0,0.0,object
balancesheet,total_nca,1516,0,0.0,object
balancesheet,cash_reser_cb,1516,1516,1.0,float64
balancesheet,depos_in_oth_bfi,1516,1515,0.9993403693931399,float64
balancesheet,prec_metals,1516,660,0.43535620052770446,float64
balancesheet,deriv_assets,1516,1384,0.9129287598944591,float64
balancesheet,rr_reins_une_prem,1516,0,0.0,object
balancesheet,rr_reins_outstd_cla,1516,0,0.0,object
balancesheet,rr_reins_lins_liab,1516,0,0.0,object
balancesheet,rr_reins_lthins_liab,1516,0,0.0,object
balancesheet,refund_depos,1516,0,0.0,object
balancesheet,ph_pledge_loans,1516,0,0.0,object
balancesheet,refund_cap_depos,1516,0,0.0,object
balancesheet,indep_acct_assets,1516,0,0.0,object
balancesheet,client_depos,1516,0,0.0,object
balancesheet,client_prov,1516,0,0.0,object
balancesheet,transac_seat_fee,1516,0,0.0,object
balancesheet,invest_as_receiv,1516,0,0.0,object
balancesheet,total_assets,1516,1516,1.0,float64
balancesheet,lt_borr,1516,0,0.0,object
balancesheet,st_borr,1516,0,0.0,object
balancesheet,cb_borr,1516,1515,0.9993403693931399,float64
balancesheet,depos_ib_deposits,1516,0,0.0,object
balancesheet,loan_oth_bank,1516,1504,0.9920844327176781,float64
balancesheet,trading_fl,1516,966,0.637203166226913,float64
balancesheet,notes_payable,1516,0,0.0,object
balancesheet,acct_payable,1516,0,0.0,object
balancesheet,adv_receipts,1516,0,0.0,object
balancesheet,sold_for_repur_fa,1516,1503,0.991424802110818,float64
balancesheet,comm_payable,1516,0,0.0,object
balancesheet,payroll_payable,1516,1515,0.9993403693931399,float64
balancesheet,taxes_payable,1516,1516,1.0,float64
balancesheet,int_payable,1516,0,0.0,object
balancesheet,div_payable,1516,0,0.0,object
balancesheet,oth_payable,1516,0,0.0,object
balancesheet,acc_exp,1516,0,0.0,object
balancesheet,deferred_inc,1516,0,0.0,object
balancesheet,st_bonds_payable,1516,0,0.0,object
balancesheet,payable_to_reinsurer,1516,0,0.0,object
balancesheet,rsrv_insur_cont,1516,0,0.0,object
balancesheet,acting_trading_sec,1516,0,0.0,object
balancesheet,acting_uw_sec,1516,0,0.0,object
balancesheet,non_cur_liab_due_1y,1516,0,0.0,object
balancesheet,oth_cur_liab,1516,0,0.0,object
balancesheet,total_cur_liab,1516,0,0.0,object
balancesheet,bond_payable,1516,1516,1.0,float64
balancesheet,lt_payable,1516,0,0.0,object
balancesheet,specific_payables,1516,0,0.0,object
balancesheet,estimated_liab,1516,1440,0.9498680738786279,float64
balancesheet,defer_tax_liab,1516,567,0.3740105540897098,float64
balancesheet,defer_inc_non_cur_liab,1516,0,0.0,object
balancesheet,oth_ncl,1516,0,0.0,object
balancesheet,total_ncl,1516,0,0.0,object
balancesheet,depos_oth_bfi,1516,1516,1.0,float64
balancesheet,deriv_liab,1516,1374,0.9063324538258575,float64
balancesheet,depos,1516,1516,1.0,float64
balancesheet,agency_bus_liab,1516,0,0.0,object
balancesheet,oth_liab,1516,1516,1.0,float64
balancesheet,prem_receiv_adva,1516,0,0.0,object
balancesheet,depos_received,1516,0,0.0,object
balancesheet,ph_invest,1516,0,0.0,object
balancesheet,reser_une_prem,1516,0,0.0,object
balancesheet,reser_outstd_claims,1516,0,0.0,object
balancesheet,reser_lins_liab,1516,0,0.0,object
balancesheet,reser_lthins_liab,1516,0,0.0,object
balancesheet,indept_acc_liab,1516,0,0.0,object
balancesheet,pledge_borr,1516,0,0.0,object
balancesheet,indem_payable,1516,0,0.0,object
balancesheet,policy_div_payable,1516,0,0.0,object
balancesheet,total_liab,1516,1516,1.0,float64
balancesheet,treasury_share,1516,15,0.009894459102902375,float64
balancesheet,ordin_risk_reser,1516,1515,0.9993403693931399,float64
balancesheet,forex_differ,1516,0,0.0,object
balancesheet,invest_loss_unconf,1516,0,0.0,object
balancesheet,minority_int,1516,1400,0.9234828496042217,float64
balancesheet,total_hldr_eqy_exc_min_int,1516,1516,1.0,float64
balancesheet,total_hldr_eqy_inc_min_int,1516,1516,1.0,float64
balancesheet,total_liab_hldr_eqy,1516,1516,1.0,float64
balancesheet,lt_payroll_payable,1516,0,0.0,object
balancesheet,oth_comp_income,1516,1515,0.9993403693931399,float64
balancesheet,oth_eqt_tools,1516,1348,0.8891820580474934,float64
balancesheet,oth_eqt_tools_p_shr,1516,828,0.5461741424802111,float64
balancesheet,lending_funds,1516,0,0.0,object
balancesheet,acc_receivable,1516,0,0.0,object
balancesheet,st_fin_payable,1516,0,0.0,object
balancesheet,payables,1516,0,0.0,object
balancesheet,hfs_assets,1516,3,0.001978891820580475,float64
balancesheet,hfs_sales,1516,0,0.0,object
balancesheet,cost_fin_assets,1516,381,0.25131926121372034,float64
balancesheet,fair_value_fin_assets,1516,346,0.22823218997361477,float64
balancesheet,contract_assets,1516,0,0.0,object
balancesheet,contract_liab,1516,36,0.023746701846965697,float64
balancesheet,accounts_receiv_bill,1516,0,0.0,object
balancesheet,accounts_pay,1516,0,0.0,object
balancesheet,oth_rcv_total,1516,0,0.0,object
balancesheet,fix_assets_total,1516,0,0.0,object
balancesheet,cip_total,1516,0,0.0,object
balancesheet,oth_pay_total,1516,0,0.0,object
balancesheet,long_pay_total,1516,0,0.0,object
balancesheet,debt_invest,1516,1103,0.7275725593667546,float64
balancesheet,oth_debt_invest,1516,1136,0.7493403693931399,float64
balancesheet,update_flag,1516,1516,1.0,object
income,ts_code,1333,1333,1.0,object
income,ann_date,1333,1333,1.0,object
income,f_ann_date,1333,1333,1.0,object
income,end_date,1333,1333,1.0,object
income,report_type,1333,1333,1.0,object
income,comp_type,1333,1333,1.0,object
income,end_type,1333,1331,0.9984996249062266,object
income,basic_eps,1333,1325,0.9939984996249063,float64
income,diluted_eps,1333,1276,0.9572393098274569,float64
income,total_revenue,1333,1333,1.0,float64
income,revenue,1333,1333,1.0,float64
income,int_income,1333,1333,1.0,float64
income,prem_earned,1333,0,0.0,object
income,comm_income,1333,1333,1.0,float64
income,n_commis_income,1333,1333,1.0,float64
income,n_oth_income,1333,1333,1.0,float64
income,n_oth_b_income,1333,1333,1.0,float64
income,prem_income,1333,0,0.0,object
income,out_prem,1333,0,0.0,object
income,une_prem_reser,1333,0,0.0,object
income,reins_income,1333,0,0.0,object
income,n_sec_tb_income,1333,0,0.0,object
income,n_sec_uw_income,1333,0,0.0,object
income,n_asset_mg_income,1333,0,0.0,object
income,oth_b_income,1333,1332,0.9992498124531133,float64
income,fv_value_chg_gain,1333,1332,0.9992498124531133,float64
income,invest_income,1333,1333,1.0,float64
income,ass_invest_income,1333,762,0.5716429107276819,float64
income,forex_gain,1333,1327,0.9954988747186797,float64
income,total_cogs,1333,1333,1.0,float64
income,oper_cost,1333,0,0.0,object
income,int_exp,1333,1333,1.0,float64
income,comm_exp,1333,1333,1.0,float64
income,biz_tax_surchg,1333,1332,0.9992498124531133,float64
income,sell_exp,1333,0,0.0,object
income,admin_exp,1333,1333,1.0,float64
income,fin_exp,1333,0,0.0,object
income,assets_impair_loss,1333,84,0.06301575393848462,float64
income,prem_refund,1333,0,0.0,object
income,compens_payout,1333,0,0.0,object
income,reser_insur_liab,1333,0,0.0,object
income,div_payt,1333,0,0.0,object
income,reins_exp,1333,0,0.0,object
income,oper_exp,1333,1333,1.0,float64
income,compens_payout_refu,1333,0,0.0,object
income,insur_reser_refu,1333,0,0.0,object
income,reins_cost_refund,1333,0,0.0,object
income,other_bus_cost,1333,1048,0.7861965491372843,float64
income,operate_profit,1333,1333,1.0,float64
income,non_oper_income,1333,1332,0.9992498124531133,float64
income,non_oper_exp,1333,1332,0.9992498124531133,float64
income,nca_disploss,1333,0,0.0,object
income,total_profit,1333,1333,1.0,float64
income,income_tax,1333,1333,1.0,float64
income,n_income,1333,1333,1.0,float64
income,n_income_attr_p,1333,1333,1.0,float64
income,minority_gain,1333,1234,0.9257314328582146,float64
income,oth_compr_income,1333,1317,0.9879969992498124,float64
income,t_compr_income,1333,1323,0.9924981245311327,float64
income,compr_inc_attr_p,1333,1323,0.9924981245311327,float64
income,compr_inc_attr_m_s,1333,1229,0.921980495123781,float64
income,ebit,1333,362,0.27156789197299325,float64
income,ebitda,1333,362,0.27156789197299325,float64
income,insurance_exp,1333,0,0.0,object
income,undist_profit,1333,0,0.0,object
income,distable_profit,1333,0,0.0,object
income,rd_exp,1333,0,0.0,object
income,fin_exp_int_exp,1333,0,0.0,object
income,fin_exp_int_inc,1333,0,0.0,object
income,transfer_surplus_rese,1333,0,0.0,object
income,transfer_housing_imprest,1333,0,0.0,object
income,transfer_oth,1333,0,0.0,object
income,adj_lossgain,1333,0,0.0,object
income,withdra_legal_surplus,1333,0,0.0,object
income,withdra_legal_pubfund,1333,0,0.0,object
income,withdra_biz_devfund,1333,0,0.0,object
income,withdra_rese_fund,1333,0,0.0,object
income,withdra_oth_ersu,1333,0,0.0,object
income,workers_welfare,1333,0,0.0,object
income,distr_profit_shrhder,1333,0,0.0,object
income,prfshare_payable_dvd,1333,0,0.0,object
income,comshare_payable_dvd,1333,0,0.0,object
income,capit_comstock_div,1333,0,0.0,object
income,continued_net_profit,1333,791,0.5933983495873969,float64
income,update_flag,1333,1333,1.0,object
cashflow,ts_code,1296,1296,1.0,object
cashflow,ann_date,1296,1296,1.0,object
cashflow,f_ann_date,1296,1296,1.0,object
cashflow,end_date,1296,1296,1.0,object
cashflow,comp_type,1296,1296,1.0,object
cashflow,report_type,1296,1296,1.0,object
cashflow,end_type,1296,1296,1.0,object
cashflow,net_profit,1296,794,0.6126543209876543,float64
cashflow,finan_exp,1296,5,0.0038580246913580245,float64
cashflow,c_fr_sale_sg,1296,0,0.0,object
cashflow,recp_tax_rends,1296,0,0.0,object
cashflow,n_depos_incr_fi,1296,1266,0.9768518518518519,float64
cashflow,n_incr_loans_cb,1296,831,0.6412037037037037,float64
cashflow,n_inc_borr_oth_fi,1296,15,0.011574074074074073,float64
cashflow,prem_fr_orig_contr,1296,0,0.0,object
cashflow,n_incr_insured_dep,1296,0,0.0,object
cashflow,n_reinsur_prem,1296,0,0.0,object
cashflow,n_incr_disp_tfa,1296,0,0.0,object
cashflow,ifc_cash_incr,1296,1294,0.9984567901234568,float64
cashflow,n_incr_disp_faas,1296,0,0.0,object
cashflow,n_incr_loans_oth_bank,1296,931,0.7183641975308642,float64
cashflow,n_cap_incr_repur,1296,0,0.0,object
cashflow,c_fr_oth_operate_a,1296,1294,0.9984567901234568,float64
cashflow,c_inf_fr_operate_a,1296,1294,0.9984567901234568,float64
cashflow,c_paid_goods_s,1296,0,0.0,object
cashflow,c_paid_to_for_empl,1296,1295,0.9992283950617284,float64
cashflow,c_paid_for_taxes,1296,1295,0.9992283950617284,float64
cashflow,n_incr_clt_loan_adv,1296,1291,0.996141975308642,float64
cashflow,n_incr_dep_cbob,1296,847,0.6535493827160493,float64
cashflow,c_pay_claims_orig_inco,1296,0,0.0,object
cashflow,pay_handling_chrg,1296,1295,0.9992283950617284,float64
cashflow,pay_comm_insur_plcy,1296,0,0.0,object
cashflow,oth_cash_pay_oper_act,1296,1295,0.9992283950617284,float64
cashflow,st_cash_out_act,1296,1295,0.9992283950617284,float64
cashflow,n_cashflow_act,1296,1296,1.0,float64
cashflow,oth_recp_ral_inv_act,1296,146,0.11265432098765432,float64
cashflow,c_disp_withdrwl_invest,1296,1295,0.9992283950617284,float64
cashflow,c_recp_return_invest,1296,1293,0.9976851851851852,float64
cashflow,n_recp_disp_fiolta,1296,1169,0.9020061728395061,float64
cashflow,n_recp_disp_sobu,1296,0,0.0,object
cashflow,stot_inflows_inv_act,1296,1295,0.9992283950617284,float64
cashflow,c_pay_acq_const_fiolta,1296,1293,0.9976851851851852,float64
cashflow,c_paid_invest,1296,1295,0.9992283950617284,float64
cashflow,n_disp_subs_oth_biz,1296,0,0.0,object
cashflow,oth_pay_ral_inv_act,1296,22,0.016975308641975308,float64
cashflow,n_incr_pledge_loan,1296,0,0.0,object
cashflow,stot_out_inv_act,1296,1295,0.9992283950617284,float64
cashflow,n_cashflow_inv_act,1296,1296,1.0,float64
cashflow,c_recp_borrow,1296,0,0.0,object
cashflow,proc_issue_bonds,1296,1118,0.8626543209876543,float64
cashflow,oth_cash_recp_ral_fnc_act,1296,37,0.02854938271604938,float64
cashflow,stot_cash_in_fnc_act,1296,1256,0.9691358024691358,float64
cashflow,free_cashflow,1296,323,0.2492283950617284,float64
cashflow,c_prepay_amt_borr,1296,1124,0.8672839506172839,float64
cashflow,c_pay_dist_dpcp_int_exp,1296,1281,0.9884259259259259,float64
cashflow,incl_dvd_profit_paid_sc_ms,1296,174,0.13425925925925927,float64
cashflow,oth_cashpay_ral_fnc_act,1296,632,0.4876543209876543,float64
cashflow,stot_cashout_fnc_act,1296,1295,0.9992283950617284,float64
cashflow,n_cash_flows_fnc_act,1296,1296,1.0,float64
cashflow,eff_fx_flu_cash,1296,1264,0.9753086419753086,float64
cashflow,n_incr_cash_cash_equ,1296,1296,1.0,float64
cashflow,c_cash_equ_beg_period,1296,1296,1.0,float64
cashflow,c_cash_equ_end_period,1296,1295,0.9992283950617284,float64
cashflow,c_recp_cap_contrib,1296,243,0.1875,float64
cashflow,incl_cash_rec_saims,1296,50,0.038580246913580245,float64
cashflow,uncon_invest_loss,1296,0,0.0,object
cashflow,prov_depr_assets,1296,397,0.30632716049382713,float64
cashflow,depr_fa_coga_dpba,1296,548,0.4228395061728395,float64
cashflow,amort_intang_assets,1296,474,0.36574074074074076,float64
cashflow,lt_amort_deferred_exp,1296,393,0.30324074074074076,float64
cashflow,decr_deferred_exp,1296,18,0.013888888888888888,float64
cashflow,incr_acc_exp,1296,0,0.0,object
cashflow,loss_disp_fiolta,1296,726,0.5601851851851852,float64
cashflow,loss_scr_fa,1296,75,0.05787037037037037,float64
cashflow,loss_fv_chg,1296,765,0.5902777777777778,float64
cashflow,invest_loss,1296,680,0.5246913580246914,float64
cashflow,decr_def_inc_tax_assets,1296,519,0.40046296296296297,float64
cashflow,incr_def_inc_tax_liab,1296,188,0.14506172839506173,float64
cashflow,decr_inventories,1296,0,0.0,object
cashflow,decr_oper_payable,1296,790,0.6095679012345679,float64
cashflow,incr_oper_payable,1296,787,0.6072530864197531,float64
cashflow,others,1296,1,0.0007716049382716049,float64
cashflow,im_net_cashflow_oper_act,1296,794,0.6126543209876543,float64
cashflow,conv_debt_into_cap,1296,0,0.0,object
cashflow,conv_copbonds_due_within_1y,1296,0,0.0,object
cashflow,fa_fnc_leases,1296,0,0.0,object
cashflow,im_n_incr_cash_equ,1296,657,0.5069444444444444,float64
cashflow,net_dism_capital_add,1296,806,0.6219135802469136,float64
cashflow,net_cash_rece_sec,1296,0,0.0,object
